developer_id,developer_name_th,developer_name_en,description_th,district_id,province_id,developer_status
448,บริษัท คีรีมายา จำกัด,,พัฒนาที่ดิน,3021,30,A
374,บริษัท บ้านแม่โจ้ จำกัด,,,5014,50,A
306,บริษัท เอ็มเมอรัลด์ ดีเวลลอปเม้นท์ กรุ๊ป จำกัด,"Emerald Development Group Co., Ltd.",ดำเนินธุรกิจเกี่ยวกับการพัฒนาอสังหาริมทรัพย์ในจังหวัดภูเก็ต,8302,83,A
572,บริษัท ลุมพินี พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด,"Lumpini Property Management Co.,Ltd",บริษัทพัฒนาที่ดิน,1028,10,A
679,บริษัท ออพติโม พร็อพเพอร์ตี้ จำกัด,,บริษัทพัฒนาที่ดิน,1044,10,A
243,บริษัท เวลเนส ปาร์ค เรสซิเด้นซ์ จำกัด,,,1406,14,A
492,บริษัท พี.พี.เอส พร็อพเพอร์ตี้ ดีเวลลอปเม้นท์ จำกัด,,,1030,10,A
250,บริษัท น้อมบุญ จำกัด,"Normboon Co., Ltd.",บริษัท น้อมบุญ จำกัด ถูกก่อตั้งเมื่อกุมภาพันธ์ 2549 โดยกลุ่มผู้บริหารมืออาชีพที่ประกอบด้วย สถาปนิกผู้เชี่ยวชาญด้านการลงทุนอสังหาริมทรัพย์และนักการเงิน ซึ่งมีประสบการณ์ทำงานทั้งใน และต่างประเทศกว่า 20 ปี บริษัทมีความมุ่งมั่นที่จะพัฒนาหมู่บ้านจัดสรร ที,1101,11,A
632,บริษัท เอกมัย แอสเซท จำกัด,,บริษัทพัฒนาที่ดิน,1039,10,A
246,บริษัท ซิลเวอร์ซี เฮ้าส์ จำกัด,"Silversea House Co., Ltd.",เป็นหนึ่งในบริษัทอสังหาริมทรัพย์ชั้นนำเน้นการให้บริการที่พักอาศัยในประเทศไทยทั้งช่วงระยะสั้นและระยะยาว ในราคาประหยัดช่วงวันหยุดพักผ่อนจนถึงระดับโรงแรม,2103,21,A
283,บริษัท เทอร์เรน พร็อพเพอร์ตี้ จำกัด,,,1201,12,A
128,บริษัท 39 เอสเตท จำกัด,"39 Estate Co., Ltd.",บริษัทพัฒนาที่ดิน,,12,A
828,บริษัท มายน์ ออเวย์ จำกัด,,,1106,11,A
882,บริษัท เค.เอส.ที.อาร์ จำกัด,,,1033,10,A
176,บริษัท ชัยยุทธ เรียล เอสเตท จำกัด,"Chiang Mai Convention Condominium Co.,Ltd.",,1045,10,A
388,บริษัท เดอะ รีทรีท หัวหิน จำกัด,,บริษัทพัฒนาที่ดิน,1039,10,A
599,บริษัท บูลล์โลตัส คอนโดมิเนียมส์ จำกัด,,,7707,77,A
994,บริษัท 99 กะรัต กรุ๊ป จำกัด,,,2001,20,A
1205,บริษัท วิลล่า คุณาลัย จำกัด,"Villa Kunalai Co.,Ltd.",พัฒนาอสังหาริมทรัพย์,1204,12,A
1620,บริษัท ซะแกซิตี้ เรียลเอสเตท จำกัด,"Sagacity Realestate Co., Ltd.",ประกอบกิจการค้าอสังหาริมทรัพย์,2101,21,A
322,บริษัท นายารา พร็อพเพอตี้ จำกัด (ในเครือ นารายณ์ พร็อพเพอตี้),,บริษัทพัฒนาที่ดิน ในเครือนารายพร้อพเพอร์ตี้,1201,12,A
956,บริษัท บ้านทัพพระยา จำกัด,"Wang Nam Rin Co.,Ltd.",,1041,10,A
818,บริษัท พร็อพเพอร์ตี้ เพอร์เฟค จำกัด (มหาชน),Property Perfect Public Company Limited,บริษัทและบริษัทย่อยดำเนินการพัฒนาโครงการบ้านเดี่ยว โครงการทาวน์เฮ้าส์และบ้านแฝด และโครงการคอนโดมิเนียมในรูปแบบที่หลากหลายในเขตกรุงเทพมหานครและปริมณฑลเป็นหลัก โดยเน้นทำเลที่ตั้งที่มีศักยภาพสูง ใกล้แนวรถไฟฟ้า,1017,10,A
1035,บริษัท บิลเลียน เรียลเอสเตท จำกัด,,,1024,10,A
85,บริษัท เออเบินสเคป เรียล เอสสเตท เดเวลลอปเพอร์ จำกัด,,,2004,20,A
430,บริษัท จุฑามาศ พร็อพเพอตี้ จำกัด,"A Plus Property Co.,Ltd.",,2103,21,A
779,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),"Sena Development (Public) Co.,Ltd.",พัฒนาอสังหาริมทรัพย์ประเภทที่อยู่อาศัย ได้แก่ บ้านเดี่ยว ทาวน์เฮ้าส์ และอาคารพาณิชย์ อาคารชุด และอพาร์ทเม้นท์ให้เช่า community mall และธุรกิจสนามกอล์ฟ,1017,10,A
143,บริษัท ทีแอลพี กรุ๊ป จำกัด,,บริษัทพัฒนาที่ดิน,1014,10,A
972,บริษัท เดอะ ทรอปิคอล โฮม จำกัด,"The Tropical Home Co., Ltd.",,5014,50,A
1216,บริษัท รีเกิล แอสเสท จำกัด,"Regal Assets Co., Ltd.",,5001,50,A
4225,บริษัท แสนแสนสุข จำกัด,,,2001,20,A
1093,ห้างหุ้นส่วนสามัญ เลทิเซีย,,,1017,10,A
270,บริษัท สินทวีเคหะภัณฑ์ จำกัด,,บริษัทพัฒนาที่ดิน,1306,13,A
480,บริษัท หลังสวน แอสเสท จำกัด,,,1007,10,A
1861,บริษัท เอเชี่ยน พร็อพเพอร์ตี้ จำกัด (มหาชน),,ดำเนินธุรกิจพัฒนาอสังหาริมทรัพย์,1033,10,A
853,บริษัท อิควิตี เรสซิเดนเชียล จำกัด,"Equity Residential Co., Ltd.",พัฒนาที่ดิน,,,A
2509,บริษัท ปรวี ดิเวลลอปเม้นท์ จำกัด,,,1030,10,A
3525,บริษัท โกลเด้น มาสเตอร์ ทาวน์ จำกัด,,อสังหาริมทรัพย์,1030,10,A
5897,บริษัท เปรมสิตา จำกัด,,,1034,10,A
5484,บริษัท สไมล์ คอนโด (2011) จำกัด,,,2004,20,A
4100,บริษัท สุคนธ์ พร็อพเพอร์ตี้ จำกัด,,ให้เช่าอสังหาริมทรัพย์,7301,73,A
1151,บริษัท บูทิค คอร์ปอเรชั่น จำกัด (มหาชน),"Boutique Corporation Public Co., Ltd.",ประกอบธุรกิจหลกคือการพัฒนาโครงการอสังหาริมทรัพย์ในรูปแบบสร้าง-ดําเนินงาน-ขาย (Build-Operate-Sell : BOS),1033,10,A
3672,บริษัท เอส.แอล.เอสเตท จำกัด,"SL estate Co., Ltd.",ด้วยประสบการณ์ และความมั่นคงในการประกอบธุรกิจเกี่ยวกับอสังหาริมทรัพย์ มาเป็นเวลากว่า 18 ปี โดยคณะผู้บริหาร และทีมงานที่พร้อมด้วยประสบการณ์ความชำนาญและความตั่งใจในการสร้างสรรค์โครงการคุณภาพเพื่อตอบสนองความต้องการของลูกค้า,1030,10,A
4829,บริษัท ไอคอนสยาม จำกัด,,,1018,10,A
3012,บริษัท ธีเอ็นพี เอสเตท จำกัด,"TNP Estate Co., Ltd",การขายอสังหาริมทรัพย์เป็นทางการค้าหรือหากำไร การบริการด้านการบริหารจัดการเละบริการเช่าอาคาร,1030,10,A
3944,บริษัท บ้านกรองทอง จำกัด,"Baan Krong Thong Co., Ltd.",บริษัทพัฒนาที่ดิน,1045,10,A
1780,บริษัท ที พลัส ดีเวลลอปเมนท์ จำกัด,,บริษัท PR,2001,20,A
4126,บริษัท เดลวี เพลส จำกัด,,,1039,10,A
5891,บริษัท แพรสายทอง จำกัด,,,2009,20,A
2693,บริษัท มั่นคง พร็อพเพอร์ตี้ จำกัด,,,1035,10,A
2129,บริษัท เฟรเกรนท์ พร็อพเพอร์ตี้ จำกัด,Fragrant Property Ltd.,บริษัทพัฒนาที่ดิน ในจังหวัดภูเก็ต,,10,A
2860,บริษัท เค.ซี.เอ. พร็อพเพอร์ตี้ จำกัด,,,5001,50,A
2450,บริษัท เอ็ม ทะเล จำกัด,,,1007,10,A
1831,บริษัท มาบุญยง เรียลเอสเตท จำกัด,"Maboonyong Real Estate Co., Ltd.",,1032,10,A
920,บริษัท ชัยเขต จำกัด,,บริษัทพัฒนาที่ดิน,,10,A
3348,บริษัท เศรณีแลนด์ จำกัด,"Seranee Land Co.,Ltd.",ค้าอสังหาริมทรัพย์,1206,12,A
2141,บริษัท พนาลี เอสเตท จำกัด (ในเครือพฤกษาฯ),,บริษัทพัฒนาที่ดิน,1014,10,A
3310,บริษัท คาเธ่ย์ แลนด์ จำกัด,,,1027,10,A
1432,บริษัท ควอด จำกัด,"Quad Co., Ltd.",บริษัทพัฒนาที่ดิน,1004,10,A
4313,บริษัท สาริศา พร็อพเพอร์ตี้ ดีเวลลอปเมนท์ จำกัด,"Sarisa Property Development Co., Ltd.",,5015,50,A
2367,บริษัท แอคทิฟว์-พี จำกัด,activ-p,บริษัทพัฒนาที่ดิน,1043,10,A
