district_id;district_name_th;district_name_en;province_id;province_name_th;province_name_en
1001;พระนคร;Phra Nakhon;10;กรุงเทพมหานคร;Bangkok
1002;ดุสิต;Dusit;10;กรุงเทพมหานคร;Bangkok
1008;ป้อมปราบศัตรูพ่าย;Pom Prap Sattruphai;10;กรุงเทพมหานคร;Bangkok
1013;สัมพันธวงศ์;Samphanthawong;10;กรุงเทพมหานคร;Bangkok
1004;บางรัก;Bang Rak;10;กรุงเทพมหานคร;Bangkok
1015;ธนบุรี;Thon Buri;10;กรุงเทพมหานคร;Bangkok
1018;คลองสาน;Khlong San;10;กรุงเทพมหานคร;Bangkok
1022;ภาษีเจริญ;Phasi Charoen;10;กรุงเทพมหานคร;Bangkok
1016;บางกอกใหญ่;Bangkok Yai;10;กรุงเทพมหานคร;Bangkok
1037;ราชเทวี;Rat Thewi;10;กรุงเทพมหานคร;Bangkok
1019;ตลิ่งชัน;Taling Chan;10;กรุงเทพมหานคร;Bangkok
1007;ปทุมวัน;Pathum Wan;10;กรุงเทพมหานคร;Bangkok
1020;บางกอกน้อย;Bangkok Noi;10;กรุงเทพมหานคร;Bangkok
1031;บางคอแหลม;Bang Kho Laem;10;กรุงเทพมหานคร;Bangkok
1033;คลองเตย;Khlong Toei;10;กรุงเทพมหานคร;Bangkok
1028;สาทร;Sa Thon;10;กรุงเทพมหานคร;Bangkok
1039;วัฒนา;Watthana;10;กรุงเทพมหานคร;Bangkok
1025;บางพลัด;Bang Phlat;10;กรุงเทพมหานคร;Bangkok
1035;จอมทอง;Chom Thong;10;กรุงเทพมหานคร;Bangkok
1017;ห้วยขวาง;Huai Khwang;10;กรุงเทพมหานคร;Bangkok
1012;ยานนาวา;Yannawa;10;กรุงเทพมหานคร;Bangkok
1024;ราษฎร์บูรณะ;Rat Burana;10;กรุงเทพมหานคร;Bangkok
1041;หลักสี่;Lak Si;10;กรุงเทพมหานคร;Bangkok
1038;ลาดพร้าว;Lat Phrao;10;กรุงเทพมหานคร;Bangkok
1026;ดินแดง;Din Daeng;10;กรุงเทพมหานคร;Bangkok
1014;พญาไท;Phaya Thai;10;กรุงเทพมหานคร;Bangkok
1040;บางแค;Bang Khae;10;กรุงเทพมหานคร;Bangkok
1046;คลองสามวา;Khlong Sam Wa;10;กรุงเทพมหานคร;Bangkok
1011;ลาดกระบัง;Lat Krabang;10;กรุงเทพมหานคร;Bangkok
1049;ทุ่งครุ;Thung Khu;10;กรุงเทพมหานคร;Bangkok
1006;บางกะปิ;Bang Kapi;10;กรุงเทพมหานคร;Bangkok
1042;สายไหม;Sai Mai;10;กรุงเทพมหานคร;Bangkok
1032;ประเวศ;Prawet;10;กรุงเทพมหานคร;Bangkok
